RollNo,Level-1,Level-2,Level-3,Enjoyed playing the game ,Difficulty ,Played the game before,Observer remarks,Student remarks
9J8538,Very easy,Easy,NA,Little,Little,No,,
9E4392,Easy,Very Easy,Easy,Little,Ok,No,,
9X4272,Very easy,Very Easy,Very easy,Ok,Not much,No,,
9F2474,Very easy,neutral,Neutral,Little,Little,No,,
9J2319,Very easy,neutral,Easy,Lot,Ok,No,,good game
9D6703,Hard,easy,Neutral,Lot,Ok,No,,
9J1843,Easy,neutral,hard,Little,Little,No,,
9J7642,Neutral,neutral,Neutral,Ok,Ok,No,,good workshop
9D6079,Neutral,neutral,hard,Ok,Little,No,,
9C9921,hard,hard,Very hard,Ok,Lot,No,,very hard
9J8500,Neutral,hard,Very hard,Little,ok,No,,
9J4319,Neutral,hard,Very hard,Not much,Little,No,,
9H6529,Very hard,Very easy,Neutral,Lot,Little,No,,
9J3239,Very easy,Very easy,NA,Lot,Not much,No,,very tough
9J4554,Very easy,Very easy,Very easy,Lot,ok,No,,
9D6434,Neutral,hard,Hard,Little,Ok,No,,
9B6,Very easy,Very easy,Very easy,Lot,Not at all,no,,
9X33,Very easy,neutral,Neutral,Lot,Ok,Yes,,
9X7,NA,NA,NA,Lot,Not at all,no,,
9C5,Very easy,Very easy,easy,Lot,Not at all,No,,
9h4,NA,NA,NA,Little,Little,No,,very hard
9I5,Neutral,Hard,NA,Lot,Little,No,,
9L11,Very easy,Hard,NA,Ok,ok,No,,
9_e17,Very easy,Very easy,Neutral,Little,ok,Yes,,fun to play
