Level 1,1491452309882,[11.0\n, 11.0\n, 11.0\n, 11.0\n, 11.0\n, 11.0\n]
Level 1,1491452355923,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491452361929,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491452381951,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491452411982,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491452417987,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491452465447,[11.0\n, 11.0\n, 11.0\n, 11.0\n, 11.0\n, 11.0\n]
Level 1,1491452473455,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491452475457,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491452481474,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491452487479,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491452489480,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491452497493,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491452499496,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491452501498,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491452519549,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491452531580,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491452535597,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491452541647,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491452543660,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491452547678,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491452547737,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491452553691,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491452555693,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491452565709,[13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n]
Level 1,1491452569714,[13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n]
Level 1,1491452571716,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491452573725,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491452585740,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491452587742,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491452619774,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491452623782,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491452633792,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491452635803,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491452637807,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491452647831,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491452651845,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491452655864,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491452657877,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491452716759,[11.0\n, 11.0\n, 11.0\n, 11.0\n, 11.0\n, 11.0\n]
Level 1,1491452726769,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491452736779,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491452782860,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491452792868,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491452814986,[13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n]
Level 1,1491452817026,[11.0\n, 11.0\n, 11.0\n, 11.0\n, 11.0\n, 11.0\n]
Level 1,1491452819037,[13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n]
Level 1,1491452821049,[13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n]
Level 1,1491452825083,[13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n]
Level 1,1491452839158,[13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n]
Level 1,1491452843164,[13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n]
Level 1,1491452849195,[13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n]
Level 1,1491452853199,[13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n]
Level 1,1491452859241,[13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n]
Level 1,1491452861245,[13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n]
Level 1,1491452863246,[13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n]
Level 1,1491452871277,[13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n]
Level 1,1491452873294,[13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n]
Level 1,1491452877326,[13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n]
Level 1,1491452885344,[13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n]
Level 1,1491452887359,[13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n]
Level 1,1491452889375,[13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n]
Level 1,1491452897407,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491452901424,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491452909441,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491452917489,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491452919505,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
